seed,episodic_return,env,id
0,10080.0625,Breakout-MinAtar,918
1,12366.765625,Breakout-MinAtar,918
2,9951.765625,Breakout-MinAtar,918
3,39904.71875,Breakout-MinAtar,918
4,10013.890625,Breakout-MinAtar,918
5,24311.0,Breakout-MinAtar,918
6,10005.03125,Breakout-MinAtar,918
7,9922.75,Breakout-MinAtar,918
8,13512.6875,Breakout-MinAtar,918
9,22534.28125,Breakout-MinAtar,918
10,9916.203125,Breakout-MinAtar,918
11,89675.328125,Breakout-MinAtar,918
12,9962.828125,Breakout-MinAtar,918
13,10002.09375,Breakout-MinAtar,918
14,9953.421875,Breakout-MinAtar,918
15,22934.0625,Breakout-MinAtar,918
16,9950.890625,Breakout-MinAtar,918
17,31633.484375,Breakout-MinAtar,918
18,11454.53125,Breakout-MinAtar,918
19,55969.734375,Breakout-MinAtar,918
20,24388.84375,Breakout-MinAtar,918
21,28600.921875,Breakout-MinAtar,918
22,57880.171875,Breakout-MinAtar,918
23,9894.609375,Breakout-MinAtar,918
24,16147.28125,Breakout-MinAtar,918
25,10040.71875,Breakout-MinAtar,918
26,23567.78125,Breakout-MinAtar,918
27,95496.890625,Breakout-MinAtar,918
28,18519.8125,Breakout-MinAtar,918
29,26061.0625,Breakout-MinAtar,918
0,128868.625,Breakout-MinAtar,679
1,228995.71875,Breakout-MinAtar,679
2,215983.015625,Breakout-MinAtar,679
3,130457.3125,Breakout-MinAtar,679
4,174300.46875,Breakout-MinAtar,679
5,195658.140625,Breakout-MinAtar,679
6,219833.875,Breakout-MinAtar,679
7,166606.0625,Breakout-MinAtar,679
8,169522.875,Breakout-MinAtar,679
9,101595.84375,Breakout-MinAtar,679
10,160443.8125,Breakout-MinAtar,679
11,178887.421875,Breakout-MinAtar,679
12,243825.75,Breakout-MinAtar,679
13,195655.765625,Breakout-MinAtar,679
14,233207.984375,Breakout-MinAtar,679
15,118855.46875,Breakout-MinAtar,679
16,192155.25,Breakout-MinAtar,679
17,139281.140625,Breakout-MinAtar,679
18,194884.5,Breakout-MinAtar,679
19,138859.796875,Breakout-MinAtar,679
20,218168.515625,Breakout-MinAtar,679
21,205827.265625,Breakout-MinAtar,679
22,243807.375,Breakout-MinAtar,679
23,362601.484375,Breakout-MinAtar,679
24,99227.203125,Breakout-MinAtar,679
25,135201.078125,Breakout-MinAtar,679
26,114408.5625,Breakout-MinAtar,679
27,155736.3125,Breakout-MinAtar,679
28,126630.296875,Breakout-MinAtar,679
29,161342.453125,Breakout-MinAtar,679
0,2625.28125,Breakout-MinAtar,222
1,4603.5,Breakout-MinAtar,222
2,48434.65625,Breakout-MinAtar,222
3,5258.96875,Breakout-MinAtar,222
4,5242.25,Breakout-MinAtar,222
5,30727.3125,Breakout-MinAtar,222
6,2083.875,Breakout-MinAtar,222
7,13855.34375,Breakout-MinAtar,222
8,842.75,Breakout-MinAtar,222
9,2074.15625,Breakout-MinAtar,222
10,36808.078125,Breakout-MinAtar,222
11,1774.359375,Breakout-MinAtar,222
12,692.0,Breakout-MinAtar,222
13,797.65625,Breakout-MinAtar,222
14,60052.84375,Breakout-MinAtar,222
15,9000.78125,Breakout-MinAtar,222
16,975.859375,Breakout-MinAtar,222
17,730.53125,Breakout-MinAtar,222
18,6574.03125,Breakout-MinAtar,222
19,20332.84375,Breakout-MinAtar,222
20,3834.21875,Breakout-MinAtar,222
21,20961.3125,Breakout-MinAtar,222
22,5348.3125,Breakout-MinAtar,222
23,46430.34375,Breakout-MinAtar,222
24,42523.171875,Breakout-MinAtar,222
25,1139.0,Breakout-MinAtar,222
26,818.34375,Breakout-MinAtar,222
27,11557.59375,Breakout-MinAtar,222
28,54347.703125,Breakout-MinAtar,222
